symbol,isin,industry,company,series,instrument_token,exchange,asof_ist,adtv_20,passed,liq_reason
HSCL,INE019C01026,Chemicals,Himadri Speciality Chemical Ltd.,EQ,3669505,NSE,2026-09-01T16:35:24.039402+05:30,5789712525.065,True,
BAJFINANCE,INE296A01032,Financial Services,Bajaj Finance Ltd.,EQ,81153,NSE,2026-09-01T16:35:24.039402+05:30,5747993090.985,True,
ADANIENT,INE423A01024,Metals & Mining,Adani Enterprises Ltd.,EQ,6401,NSE,2026-09-01T16:35:24.039402+05:30,5569416894.815,True,
HAL,INE066F01020,Capital Goods,Hindustan Aeronautics Ltd.,EQ,589569,NSE,2026-09-01T16:35:24.039402+05:30,5497915098.584999,True,
LT,INE018A01030,Construction,Larsen & Toubro Ltd.,EQ,2939649,NSE,2026-09-01T16:35:24.039402+05:30,5284274003.26,True,
KAYNES,INE918Z01012,Capital Goods,Kaynes Technology India Ltd.,EQ,3095553,NSE,2026-09-01T16:35:24.039402+05:30,4989586928.91,True,
DIXON,INE935N01020,Consumer Durables,Dixon Technologies (India) Ltd.,EQ,5552641,NSE,2026-09-01T16:35:24.039402+05:30,4978637263.2,True,
IFCI,INE039A01010,Financial Services,IFCI Ltd.,EQ,381697,NSE,2026-09-01T16:35:24.039402+05:30,4944668948.655001,True,
TATASTEEL,INE081A01020,Metals & Mining,Tata Steel Ltd.,EQ,895745,NSE,2026-09-01T16:35:24.039402+05:30,4890309712.0825,True,
KOTAKBANK,INE237A01036,Financial Services,Kotak Mahindra Bank Ltd.,EQ,492033,NSE,2026-09-01T16:35:24.039402+05:30,4864997245.0125,True,
BALRAMCHIN,INE119A01028,Fast Moving Consumer Goods,Balrampur Chini Mills Ltd.,EQ,87297,NSE,2026-09-01T16:35:24.039402+05:30,4841830316.622499,True,
SAIL,INE114A01011,Metals & Mining,Steel Authority of India Ltd.,EQ,758529,NSE,2026-09-01T16:35:24.039402+05:30,4684954434.828,True,
ASTERDM,INE914M01019,Healthcare,Aster DM Quality Care Ltd.,EQ,386049,NSE,2026-09-01T16:35:24.039402+05:30,4597301930.2775,True,
HINDALCO,INE038A01020,Metals & Mining,Hindalco Industries Ltd.,EQ,348929,NSE,2026-09-01T16:35:24.039402+05:30,4429522092.032499,True,
SHRIRAMFIN,INE721A01047,Financial Services,Shriram Finance Ltd.,EQ,1102337,NSE,2026-09-01T16:35:24.039402+05:30,4406405659.87,True,
GVT&D,INE200A01026,Capital Goods,GE Vernova T&D India Ltd.,EQ,4296449,NSE,2026-09-01T16:35:24.039402+05:30,4349099061.76,True,
MARUTI,INE585B01010,Automobile and Auto Components,Maruti Suzuki India Ltd.,EQ,2815745,NSE,2026-09-01T16:35:24.039402+05:30,4329527742.7,True,
POWERINDIA,INE07Y701011,Capital Goods,Hitachi Energy India Ltd.,EQ,4724993,NSE,2026-09-01T16:35:24.039402+05:30,4270205892.0,True,
TITAN,INE280A01028,Consumer Durables,Titan Company Ltd.,EQ,897537,NSE,2026-09-01T16:35:24.039402+05:30,4268927130.39,True,
ADANIPOWER,INE814H01029,Power,Adani Power Ltd.,EQ,4451329,NSE,2026-09-01T16:35:24.039402+05:30,4247950883.5295,True,
HINDZINC,INE267A01025,Metals & Mining,Hindustan Zinc Ltd.,EQ,364545,NSE,2026-09-01T16:35:24.039402+05:30,4232271687.6925,True,
HFCL,INE548A01028,Telecommunication,HFCL Ltd.,EQ,5619457,NSE,2026-09-01T16:35:24.039402+05:30,4137289576.051,True,
TECHM,INE669C01036,Information Technology,Tech Mahindra Ltd.,EQ,3465729,NSE,2026-09-01T16:35:24.039402+05:30,4105749220.63,True,
TVSMOTOR,INE494B01023,Automobile and Auto Components,TVS Motor Company Ltd.,EQ,2170625,NSE,2026-09-01T16:35:24.039402+05:30,4063679285.06,True,
BEL,INE263A01024,Capital Goods,Bharat Electronics Ltd.,EQ,98049,NSE,2026-09-01T16:35:24.039402+05:30,4058968983.335001,True,
TMCV,INE1TAE01010,Capital Goods,Tata Motors Ltd.,EQ,194504193,NSE,2026-09-01T16:35:24.039402+05:30,4057667668.2975,True,
COFORGE,INE591G01025,Information Technology,Coforge Ltd.,EQ,2955009,NSE,2026-09-01T16:35:24.039402+05:30,3981416236.415,True,
GRASIM,INE047A01021,Construction Materials,Grasim Industries Ltd.,EQ,315393,NSE,2026-09-01T16:35:24.039402+05:30,3930271075.09,True,
HEROMOTOCO,INE158A01026,Automobile and Auto Components,Hero MotoCorp Ltd.,EQ,345089,NSE,2026-09-01T16:35:24.039402+05:30,3898372047.325,True,
SWIGGY,INE00H001014,Consumer Services,Swiggy Ltd.,EQ,6928897,NSE,2026-09-01T16:35:24.039402+05:30,3872823728.755,True,
ADANIPORTS,INE742F01042,Services,Adani Ports and Special Economic Zone Ltd.,EQ,3861249,NSE,2026-09-01T16:35:24.039402+05:30,3805209856.795,True,
COALINDIA,INE522F01014,Oil Gas & Consumable Fuels,Coal India Ltd.,EQ,5215745,NSE,2026-09-01T16:35:24.039402+05:30,3760466366.455,True,
VEDL,INE205A01025,Metals & Mining,Vedanta Ltd.,EQ,784129,NSE,2026-09-01T16:35:24.039402+05:30,3751836241.945,True,
DIVISLAB,INE361B01024,Healthcare,Divi's Laboratories Ltd.,EQ,2800641,NSE,2026-09-01T16:35:24.039402+05:30,3699235486.6,True,
ITC,INE154A01025,Fast Moving Consumer Goods,ITC Ltd.,EQ,424961,NSE,2026-09-01T16:35:24.039402+05:30,3694899791.365,True,
DATAPATTNS,INE0IX101010,Capital Goods,Data Patterns (India) Ltd.,EQ,1883649,NSE,2026-09-01T16:35:24.039402+05:30,3609314260.659999,True,
APOLLOHOSP,INE437A01024,Healthcare,Apollo Hospitals Enterprise Ltd.,EQ,40193,NSE,2026-09-01T16:35:24.039402+05:30,3601933137.25,True,
ZEEL,INE256A01028,Media Entertainment & Publication,Zee Entertainment Enterprises Ltd.,EQ,975873,NSE,2026-09-01T16:35:24.039402+05:30,3565105683.3345003,True,
CHENNPETRO,INE178A01016,Oil Gas & Consumable Fuels,Chennai Petroleum Corporation Ltd.,EQ,524545,NSE,2026-09-01T16:35:24.039402+05:30,3490865250.8,True,
PFC,INE134E01011,Financial Services,Power Finance Corporation Ltd.,EQ,3660545,NSE,2026-09-01T16:35:24.039402+05:30,3471268460.565,True,
BHEL,INE257A01026,Capital Goods,Bharat Heavy Electricals Ltd.,EQ,112129,NSE,2026-09-01T16:35:24.039402+05:30,3440456609.209999,True,
MOTHERSON,INE775A01035,Automobile and Auto Components,Samvardhana Motherson International Ltd.,EQ,1076225,NSE,2026-09-01T16:35:24.039402+05:30,3273960710.189,True,
EICHERMOT,INE066A01021,Automobile and Auto Components,Eicher Motors Ltd.,EQ,232961,NSE,2026-09-01T16:35:24.039402+05:30,3248699098.225,True,
PINELABS,INE15B701018,Financial Services,Pine Labs Ltd.,EQ,194513921,NSE,2026-09-01T16:35:24.039402+05:30,3215392657.251,True,
SUNPHARMA,INE044A01036,Healthcare,Sun Pharmaceutical Industries Ltd.,EQ,857857,NSE,2026-09-01T16:35:24.039402+05:30,3182569678.245,True,
TMPV,INE155A01022,Automobile and Auto Components,Tata Motors Passenger Vehicles Ltd.,EQ,884737,NSE,2026-09-01T16:35:24.039402+05:30,3142080908.32,True,
JIOFIN,INE758E01017,Financial Services,Jio Financial Services Ltd.,EQ,4644609,NSE,2026-09-01T16:35:24.039402+05:30,3126870256.3844995,True,
SOLARINDS,INE343H01029,Chemicals,Solar Industries India Ltd.,EQ,3412993,NSE,2026-09-01T16:35:24.039402+05:30,3110534338.85,True,
MUTHOOTFIN,INE414G01012,Financial Services,Muthoot Finance Ltd.,EQ,6054401,NSE,2026-09-01T16:35:24.039402+05:30,3093905895.83,True,
NATIONALUM,INE139A01034,Metals & Mining,National Aluminium Co. Ltd.,EQ,1629185,NSE,2026-09-01T16:35:24.039402+05:30,3018670525.2874994,True,
NAVINFLUOR,INE048G01026,Chemicals,Navin Fluorine International Ltd.,EQ,3756033,NSE,2026-09-01T16:35:24.039402+05:30,2987904052.975,True,
NTPC,INE733E01010,Power,NTPC Ltd.,EQ,2977281,NSE,2026-09-01T16:35:24.039402+05:30,2916228497.3425,True,
TRENT,INE849A01020,Consumer Services,Trent Ltd.,EQ,502785,NSE,2026-09-01T16:35:24.039402+05:30,2904544300.3450003,True,
ONGC,INE213A01029,Oil Gas & Consumable Fuels,Oil & Natural Gas Corporation Ltd.,EQ,633601,NSE,2026-09-01T16:35:24.039402+05:30,2894583849.607,True,
MEESHO,INE0VDM01015,Consumer Services,Meesho Ltd.,EQ,194618625,NSE,2026-09-01T16:35:24.039402+05:30,2848356622.2315,True,
ENRIN,INE1NPP01017,Capital Goods,Siemens Energy India Ltd.,EQ,193758977,NSE,2026-09-01T16:35:24.039402+05:30,2833995752.37,True,
